Date,Open,High,Low,Close,Adj Close,Volume
2013-12-27,1051.000000,1083.400024,1051.000000,1079.469971,921.092529,240156
2013-12-30,1082.500000,1087.400024,1073.500000,1078.849976,920.563599,138084
2013-12-31,1080.099976,1091.650024,1076.000000,1085.469971,926.212402,147926
2014-01-01,1090.000000,1092.500000,1075.530029,1076.849976,918.856995,73300
2014-01-02,1080.000000,1093.569946,1075.000000,1081.150024,922.526184,117324
2014-01-03,1087.500000,1114.119995,1075.500000,1111.000000,947.996826,267204
2014-01-06,1113.000000,1121.819946,1098.500000,1119.800049,955.505737,145172
2014-01-07,1119.150024,1127.400024,1100.300049,1104.099976,942.109131,135104
2014-01-08,1107.430054,1121.250000,1102.550049,1116.500000,952.689575,151936
2014-01-09,1115.000000,1127.380005,1111.500000,1121.819946,957.229187,145656
2014-01-10,1125.000000,1153.500000,1118.199951,1140.900024,973.510010,266952
2014-01-13,1145.000000,1191.119995,1144.500000,1185.150024,1011.267700,258940
2014-01-14,1190.000000,1192.099976,1161.400024,1164.069946,993.280579,176666
2014-01-15,1171.500000,1188.500000,1164.069946,1177.119995,1004.415527,273356
2014-01-16,1190.000000,1190.000000,1160.550049,1175.680054,1003.186890,278368
2014-01-17,1150.000000,1150.000000,1105.030029,1107.819946,945.283142,768062
2014-01-20,1110.000000,1174.449951,1108.000000,1169.119995,997.589417,562648
2014-01-21,1165.069946,1170.000000,1137.930054,1140.319946,973.014893,298016
2014-01-22,1147.500000,1148.000000,1132.880005,1137.180054,970.335632,193796
2014-01-23,1136.949951,1138.500000,1119.550049,1127.069946,961.708923,163640
2014-01-24,1127.000000,1142.000000,1120.530029,1124.069946,959.149048,184374
2014-01-27,1118.000000,1129.000000,1111.000000,1115.150024,954.936035,133028
2014-01-28,1112.250000,1123.849976,1098.949951,1106.650024,947.657104,429740
2014-01-29,1115.550049,1117.000000,1101.500000,1104.780029,946.055786,117962
2014-01-30,1102.000000,1114.500000,1095.030029,1108.949951,949.626831,162514
2014-01-31,1115.000000,1134.880005,1110.780029,1118.099976,957.461914,252886
2014-02-03,1113.500000,1122.000000,1096.000000,1098.319946,940.523804,107042
2014-02-04,1089.530029,1089.530029,1057.500000,1077.599976,922.780823,258588
2014-02-05,1080.000000,1097.500000,1072.000000,1095.530029,938.134766,162520
2014-02-06,1095.000000,1095.000000,1071.000000,1087.380005,931.155518,204318
2014-02-07,1092.500000,1095.650024,1065.719971,1071.680054,917.711182,160128
2014-02-10,1072.500000,1074.000000,1044.000000,1046.849976,896.448608,216682
2014-02-11,1047.500000,1063.000000,1047.500000,1050.500000,899.574219,202536
2014-02-12,1061.849976,1061.900024,1047.550049,1051.900024,900.772949,126528
2014-02-13,1054.500000,1069.500000,1049.500000,1066.880005,913.600891,165496
2014-02-14,1069.500000,1092.199951,1064.250000,1083.119995,927.507874,149938
2014-02-17,1084.500000,1093.500000,1074.780029,1084.300049,928.518127,202532
2014-02-18,1083.349976,1094.949951,1079.349976,1083.069946,927.464722,67902
2014-02-19,1085.500000,1104.880005,1080.380005,1099.219971,941.294556,94074
2014-02-20,1101.099976,1110.750000,1093.219971,1096.430054,938.905579,135380
2014-02-21,1101.500000,1105.500000,1096.000000,1102.680054,944.257629,67268
2014-02-24,1103.000000,1103.000000,1085.599976,1089.099976,932.628418,181384
2014-02-25,1095.000000,1099.849976,1090.750000,1094.150024,936.953125,105698
2014-02-26,1095.500000,1097.500000,1089.280029,1091.199951,934.426819,69202
2014-02-28,1084.000000,1138.500000,1080.000000,1136.400024,973.132996,293910
2014-03-03,1135.000000,1148.449951,1116.599976,1120.430054,959.457581,131848
2014-03-04,1119.000000,1127.569946,1112.500000,1121.469971,960.347839,90316
2014-03-05,1126.530029,1142.150024,1121.500000,1125.069946,963.430603,296112
2014-03-06,1127.000000,1129.500000,1111.000000,1120.569946,959.577087,77256
